leg,symbol,quantity,entry_time,entry_px,exit_time,exit_px,exit_reason,is_short,pnl_points,pnl_rupees
WEEKLY_PE,NIFTY16MAR2317300PE,65,2023-03-10T09:40:00+05:30,93.25,2023-03-10T09:50:00+05:30,82.65,opposite_signal,False,-10.599999999999994,-688.9999999999997
WEEKLY_CE,NIFTY16MAR2317400CE,65,2023-03-10T09:50:00+05:30,90.1,2023-03-10T15:15:00+05:30,112.45,universal_exit_time,False,22.35000000000001,1452.7500000000005
WEEKLY_CE,NIFTY16MAR2317500CE,65,2023-03-13T09:30:00+05:30,83.0,2023-03-13T10:40:00+05:30,60.75,opposite_signal,False,-22.25,-1446.25
WEEKLY_CE,NIFTY16MAR2317450CE,65,2023-03-13T10:45:00+05:30,90.5,2023-03-13T11:05:00+05:30,69.5,opposite_signal,False,-21.0,-1365.0
WEEKLY_PE,NIFTY16MAR2317350PE,65,2023-03-13T11:10:00+05:30,72.2,2023-03-13T11:20:00+05:30,71.45,opposite_signal,False,-0.75,-48.75
WEEKLY_PE,NIFTY16MAR2317350PE,65,2023-03-13T11:25:00+05:30,72.9,2023-03-13T13:30:00+05:30,159.75,profit_target,False,86.85,5645.25
WEEKLY_PE,NIFTY16MAR2317200PE,65,2023-03-13T13:30:00+05:30,79.55,2023-03-13T15:15:00+05:30,128.85,universal_exit_time,False,49.3,3204.5
WEEKLY_CE,NIFTY16MAR2317200CE,65,2023-03-14T09:30:00+05:30,110.75,2023-03-14T09:40:00+05:30,93.5,opposite_signal,False,-17.25,-1121.25
WEEKLY_PE,NIFTY16MAR2317100PE,65,2023-03-14T10:05:00+05:30,83.9,2023-03-14T12:30:00+05:30,65.65,opposite_signal,False,-18.25,-1186.25
WEEKLY_PE,NIFTY16MAR2317100PE,65,2023-03-14T12:40:00+05:30,89.0,2023-03-14T15:15:00+05:30,103.9,universal_exit_time,False,14.900000000000006,968.5000000000003
WEEKLY_CE,NIFTY16MAR2317200CE,65,2023-03-15T09:45:00+05:30,61.7,2023-03-15T09:55:00+05:30,49.0,opposite_signal,False,-12.700000000000003,-825.5000000000002
WEEKLY_PE,NIFTY16MAR2317100PE,65,2023-03-15T10:05:00+05:30,56.9,2023-03-15T10:15:00+05:30,47.3,opposite_signal,False,-9.600000000000001,-624.0000000000001
WEEKLY_PE,NIFTY16MAR2317100PE,65,2023-03-15T10:30:00+05:30,54.85,2023-03-15T11:25:00+05:30,46.6,opposite_signal,False,-8.25,-536.25
WEEKLY_PE,NIFTY16MAR2317100PE,65,2023-03-15T12:00:00+05:30,55.4,2023-03-15T15:00:00+05:30,122.25,profit_target,False,66.85,4345.25
WEEKLY_PE,NIFTY23MAR2316850PE,65,2023-03-16T09:30:00+05:30,139.35,2023-03-16T10:40:00+05:30,100.25,opposite_signal,False,-39.099999999999994,-2541.4999999999995
WEEKLY_CE,NIFTY23MAR2317000CE,65,2023-03-16T10:35:00+05:30,169.35,2023-03-16T11:40:00+05:30,166.5,opposite_signal,False,-2.8499999999999943,-185.24999999999963
WEEKLY_PE,NIFTY23MAR2316950PE,65,2023-03-16T12:00:00+05:30,150.1,2023-03-16T13:15:00+05:30,141.85,opposite_signal,False,-8.25,-536.25
WEEKLY_CE,NIFTY23MAR2317050CE,65,2023-03-16T14:10:00+05:30,157.1,2023-03-16T14:50:00+05:30,133.35,opposite_signal,False,-23.75,-1543.75
WEEKLY_CE,NIFTY23MAR2317100CE,65,2023-03-17T09:50:00+05:30,138.9,2023-03-17T10:00:00+05:30,122.7,opposite_signal,False,-16.200000000000003,-1053.0000000000002
WEEKLY_PE,NIFTY23MAR2317050PE,65,2023-03-17T09:40:00+05:30,113.7,2023-03-17T13:55:00+05:30,103.0,opposite_signal,False,-10.700000000000003,-695.5000000000002
WEEKLY_CE,NIFTY23MAR2317100CE,65,2023-03-17T14:00:00+05:30,132.05,2023-03-17T14:15:00+05:30,113.35,opposite_signal,False,-18.700000000000017,-1215.5000000000011
WEEKLY_PE,NIFTY23MAR2317000PE,65,2023-03-17T14:15:00+05:30,99.15,2023-03-17T14:35:00+05:30,87.5,opposite_signal,False,-11.650000000000006,-757.2500000000003
WEEKLY_PE,NIFTY23MAR2316950PE,65,2023-03-20T09:40:00+05:30,116.4,2023-03-20T15:05:00+05:30,85.7,opposite_signal,False,-30.700000000000003,-1995.5000000000002
WEEKLY_CE,NIFTY23MAR2317100CE,65,2023-03-21T09:30:00+05:30,86.4,2023-03-21T09:50:00+05:30,67.3,opposite_signal,False,-19.10000000000001,-1241.5000000000005
WEEKLY_CE,NIFTY23MAR2317050CE,65,2023-03-21T09:55:00+05:30,99.4,2023-03-21T15:15:00+05:30,125.0,universal_exit_time,False,25.599999999999994,1663.9999999999995
WEEKLY_CE,NIFTY23MAR2317150CE,65,2023-03-22T09:30:00+05:30,77.55,2023-03-22T10:40:00+05:30,69.45,opposite_signal,False,-8.099999999999994,-526.4999999999997
WEEKLY_CE,NIFTY23MAR2317150CE,65,2023-03-22T10:45:00+05:30,74.55,2023-03-22T11:00:00+05:30,63.35,opposite_signal,False,-11.199999999999996,-727.9999999999998
WEEKLY_CE,NIFTY23MAR2317150CE,65,2023-03-22T11:25:00+05:30,75.95,2023-03-22T12:55:00+05:30,68.85,opposite_signal,False,-7.1000000000000085,-461.50000000000057
WEEKLY_CE,NIFTY23MAR2317150CE,65,2023-03-22T13:05:00+05:30,71.7,2023-03-22T13:15:00+05:30,63.8,opposite_signal,False,-7.900000000000006,-513.5000000000003
WEEKLY_CE,NIFTY23MAR2317150CE,65,2023-03-22T13:35:00+05:30,72.0,2023-03-22T13:45:00+05:30,61.15,opposite_signal,False,-10.850000000000001,-705.2500000000001
WEEKLY_PE,NIFTY29MAR2317050PE,65,2023-03-23T09:30:00+05:30,103.85,2023-03-23T09:50:00+05:30,86.55,opposite_signal,False,-17.299999999999997,-1124.4999999999998
WEEKLY_PE,NIFTY29MAR2317100PE,65,2023-03-23T14:25:00+05:30,108.9,2023-03-23T15:15:00+05:30,128.6,universal_exit_time,False,19.69999999999999,1280.4999999999993
WEEKLY_PE,NIFTY29MAR2317000PE,65,2023-03-24T09:30:00+05:30,98.4,2023-03-24T09:45:00+05:30,80.85,opposite_signal,False,-17.55000000000001,-1140.7500000000007
WEEKLY_PE,NIFTY29MAR2317000PE,65,2023-03-24T10:25:00+05:30,93.35,2023-03-24T11:05:00+05:30,88.8,opposite_signal,False,-4.549999999999997,-295.74999999999983
WEEKLY_CE,NIFTY29MAR2317100CE,65,2023-03-24T12:15:00+05:30,112.25,2023-03-24T12:30:00+05:30,96.6,opposite_signal,False,-15.650000000000006,-1017.2500000000003
WEEKLY_PE,NIFTY29MAR2317000PE,65,2023-03-24T13:35:00+05:30,97.65,2023-03-24T13:55:00+05:30,85.75,opposite_signal,False,-11.900000000000006,-773.5000000000003
WEEKLY_PE,NIFTY29MAR2317000PE,65,2023-03-24T14:00:00+05:30,93.45,2023-03-24T15:15:00+05:30,138.0,universal_exit_time,False,44.55,2895.75
WEEKLY_CE,NIFTY29MAR2317050CE,65,2023-03-27T09:30:00+05:30,87.9,2023-03-27T15:15:00+05:30,63.45,universal_exit_time,False,-24.450000000000003,-1589.2500000000002
WEEKLY_CE,NIFTY29MAR2317050CE,65,2023-03-28T09:30:00+05:30,68.8,2023-03-28T09:45:00+05:30,57.75,opposite_signal,False,-11.049999999999997,-718.2499999999998
WEEKLY_PE,NIFTY29MAR2316950PE,65,2023-03-28T10:25:00+05:30,54.6,2023-03-28T11:40:00+05:30,42.95,opposite_signal,False,-11.649999999999999,-757.2499999999999
WEEKLY_PE,NIFTY29MAR2316950PE,65,2023-03-28T12:00:00+05:30,51.5,2023-03-28T12:35:00+05:30,45.0,opposite_signal,False,-6.5,-422.5
WEEKLY_PE,NIFTY29MAR2316950PE,65,2023-03-28T12:40:00+05:30,51.6,2023-03-28T13:10:00+05:30,42.6,opposite_signal,False,-9.0,-585.0
WEEKLY_PE,NIFTY29MAR2316950PE,65,2023-03-28T13:20:00+05:30,51.9,2023-03-28T15:15:00+05:30,49.0,universal_exit_time,False,-2.8999999999999986,-188.49999999999991
WEEKLY_CE,NIFTY06APR2317050CE,65,2023-03-29T09:30:00+05:30,121.7,2023-03-29T11:10:00+05:30,105.1,opposite_signal,False,-16.60000000000001,-1079.0000000000005
WEEKLY_PE,NIFTY06APR2316900PE,65,2023-03-29T12:05:00+05:30,98.9,2023-03-29T12:40:00+05:30,94.85,opposite_signal,False,-4.050000000000011,-263.25000000000074
WEEKLY_CE,NIFTY06APR2317050CE,65,2023-03-29T13:25:00+05:30,120.3,2023-03-29T13:35:00+05:30,111.0,opposite_signal,False,-9.299999999999997,-604.4999999999998
WEEKLY_CE,NIFTY06APR2317050CE,65,2023-03-29T13:55:00+05:30,122.85,2023-03-29T14:35:00+05:30,115.35,opposite_signal,False,-7.5,-487.5
WEEKLY_CE,NIFTY06APR2317050CE,65,2023-03-29T14:40:00+05:30,119.0,2023-03-29T15:15:00+05:30,163.35,universal_exit_time,False,44.349999999999994,2882.7499999999995
WEEKLY_CE,NIFTY06APR2317300CE,65,2023-03-31T09:40:00+05:30,96.4,2023-03-31T10:15:00+05:30,89.3,opposite_signal,False,-7.1000000000000085,-461.50000000000057
WEEKLY_PE,NIFTY06APR2317250PE,65,2023-03-31T10:10:00+05:30,94.55,2023-03-31T11:30:00+05:30,89.9,opposite_signal,False,-4.6499999999999915,-302.24999999999943
WEEKLY_CE,NIFTY06APR2317300CE,65,2023-03-31T11:50:00+05:30,90.9,2023-03-31T12:00:00+05:30,89.5,opposite_signal,False,-1.4000000000000057,-91.00000000000037
WEEKLY_CE,NIFTY06APR2317300CE,65,2023-03-31T12:15:00+05:30,91.65,2023-03-31T15:15:00+05:30,120.65,universal_exit_time,False,29.0,1885.0
WEEKLY_PE,NIFTY06APR2317350PE,65,2023-04-03T09:30:00+05:30,92.75,2023-04-03T09:45:00+05:30,74.1,opposite_signal,False,-18.650000000000006,-1212.2500000000005
WEEKLY_CE,NIFTY06APR2317400CE,65,2023-04-03T09:45:00+05:30,77.5,2023-04-03T10:05:00+05:30,70.65,opposite_signal,False,-6.849999999999994,-445.24999999999966
WEEKLY_PE,NIFTY06APR2317300PE,65,2023-04-03T10:40:00+05:30,71.0,2023-04-03T11:40:00+05:30,69.5,opposite_signal,False,-1.5,-97.5
